,index,FIPS Code,State,Year,Month,Civilian Non-Institutional Population,Labor Force Total,Labor Force Percent of Population,Employment Total,Employment Percent of Population,Unemployment Total,Unemployment Rate
5351,25710,55,Wisconsin,2016,May,"4,562,657","3,111,252",68.2,"2,987,959",65.5,"123,293",4
5352,25711,56,Wyoming,2016,May,"451,222","301,896",66.9,"284,797",63.1,"17,099",5.7
5353,25712,1,Alabama,2016,June,"3,815,642","2,154,315",56.5,"2,028,210",53.2,"126,105",5.9
5354,25713,2,Alaska,2016,June,"546,635","362,098",66.2,"338,159",61.9,"23,939",6.6
5355,25714,4,Arizona,2016,June,"5,379,277","3,250,898",60.4,"3,072,085",57.1,"178,813",5.5
5356,25715,5,Arkansas,2016,June,"2,311,209","1,344,422",58.2,"1,290,844",55.9,"53,578",4
5357,25716,6,California,2016,June,"30,557,662","19,008,579",62.2,"17,961,187",58.8,"1,047,392",5.5
5358,25717,37,Los Angeles County,2016,June,"8,038,025","5,018,197",62.4,"4,753,351",59.1,"264,846",5.3
5359,25718,8,Colorado,2016,June,"4,319,761","2,891,014",66.9,"2,797,121",64.8,"93,893",3.2
5360,25719,9,Connecticut,2016,June,"2,874,029","1,892,133",65.8,"1,800,092",62.6,"92,041",4.9
5361,25720,10,Delaware,2016,June,"753,847","468,515",62.1,"447,619",59.4,"20,896",4.5
5362,25721,11,District of Columbia,2016,June,"564,810","394,519",69.8,"370,323",65.6,"24,196",6.1
5363,25722,12,Florida,2016,June,"16,601,075","9,826,989",59.2,"9,347,749",56.3,"479,240",4.9
5364,25723,13,Georgia,2016,June,"7,880,992","4,908,561",62.3,"4,643,573",58.9,"264,988",5.4
5365,25724,15,Hawaii,2016,June,"1,093,490","678,662",62.1,"658,647",60.2,"20,015",2.9
5366,25725,16,Idaho,2016,June,"1,272,686","812,750",63.9,"782,732",61.5,"30,018",3.7
5367,25726,17,Illinois,2016,June,"10,047,244","6,569,841",65.4,"6,180,798",61.5,"389,043",5.9
5368,25727,18,Indiana,2016,June,"5,146,468","3,339,805",64.9,"3,191,314",62,"148,491",4.4
5369,25728,19,Iowa,2016,June,"2,441,687","1,705,132",69.8,"1,642,812",67.3,"62,320",3.7
5370,25729,20,Kansas,2016,June,"2,213,900","1,492,201",67.4,"1,431,926",64.7,"60,275",4
5371,25730,21,Kentucky,2016,June,"3,458,575","2,012,869",58.2,"1,913,680",55.3,"99,189",4.9
5372,25731,22,Louisiana,2016,June,"3,584,422","2,127,524",59.4,"1,997,206",55.7,"130,318",6.1
5373,25732,23,Maine,2016,June,"1,094,206","694,036",63.4,"667,788",61,"26,248",3.8
5374,25733,24,Maryland,2016,June,"4,712,540","3,149,300",66.8,"3,015,276",64,"134,024",4.3
5375,25734,25,Massachusetts,2016,June,"5,541,082","3,614,771",65.2,"3,470,308",62.6,"144,463",4
5376,25735,26,Michigan,2016,June,"7,914,881","4,849,566",61.3,"4,606,797",58.2,"242,769",5
5377,25736,27,Minnesota,2016,June,"4,316,269","3,019,989",70,"2,904,199",67.3,"115,790",3.8
5378,25737,28,Mississippi,2016,June,"2,284,502","1,269,750",55.6,"1,194,254",52.3,"75,496",5.9
5379,25738,29,Missouri,2016,June,"4,753,964","3,077,577",64.7,"2,934,414",61.7,"143,163",4.7
5380,25739,30,Montana,2016,June,"823,348","521,652",63.4,"499,016",60.6,"22,636",4.3
5381,25740,31,Nebraska,2016,June,"1,451,894","1,017,046",70,"985,933",67.9,"31,113",3.1
5382,25741,32,Nevada,2016,June,"2,276,707","1,412,384",62,"1,330,298",58.4,"82,086",5.8
5383,25742,33,New Hampshire,2016,June,"1,097,173","753,404",68.7,"731,703",66.7,"21,701",2.9
5384,25743,34,New Jersey,2016,June,"7,027,351","4,495,078",64,"4,269,959",60.8,"225,119",5
