,index,FIPS Code,State,Year,Month,Civilian Non-Institutional Population,Labor Force Total,Labor Force Percent of Population,Employment Total,Employment Percent of Population,Unemployment Total,Unemployment Rate
379,20738,10,Delaware,2008,August,"679,481","450,915",66.4,"426,883",62.8,"24,032",5.3
380,20739,11,District of Columbia,2008,August,"478,161","336,627",70.4,"313,128",65.5,"23,499",7
381,20740,12,Florida,2008,August,"14,494,359","9,170,735",63.3,"8,610,848",59.4,"559,887",6.1
382,20741,13,Georgia,2008,August,"7,212,743","4,952,285",68.7,"4,610,521",63.9,"341,764",6.9
383,20742,15,Hawaii,2008,August,"976,125","642,316",65.8,"614,884",63,"27,432",4.3
384,20743,16,Idaho,2008,August,"1,137,065","763,961",67.2,"720,883",63.4,"43,078",5.6
385,20744,17,Illinois,2008,August,"9,820,037","6,630,290",67.5,"6,183,599",63,"446,691",6.7
386,20745,18,Indiana,2008,August,"4,879,459","3,257,956",66.8,"3,061,005",62.7,"196,951",6
387,20746,19,Iowa,2008,August,"2,321,258","1,688,328",72.7,"1,616,614",69.6,"71,714",4.2
388,20747,20,Kansas,2008,August,"2,112,793","1,494,865",70.8,"1,425,260",67.5,"69,605",4.7
389,20748,21,Kentucky,2008,August,"3,312,948","2,042,938",61.7,"1,906,189",57.5,"136,749",6.7
390,20749,22,Louisiana,2008,August,"3,360,884","2,074,146",61.7,"1,974,665",58.8,"99,481",4.8
391,20750,23,Maine,2008,August,"1,063,209","703,231",66.1,"664,756",62.5,"38,475",5.5
392,20751,24,Maryland,2008,August,"4,360,469","3,034,819",69.6,"2,892,074",66.3,"142,745",4.7
393,20752,25,Massachusetts,2008,August,"5,190,727","3,477,120",67,"3,287,107",63.3,"190,013",5.5
394,20753,26,Michigan,2008,August,"7,771,436","4,908,296",63.2,"4,496,904",57.9,"411,392",8.4
395,20754,27,Minnesota,2008,August,"4,054,892","2,922,523",72.1,"2,760,026",68.1,"162,497",5.6
396,20755,28,Mississippi,2008,August,"2,188,782","1,291,079",59,"1,201,959",54.9,"89,120",6.9
397,20756,29,Missouri,2008,August,"4,581,836","3,066,259",66.9,"2,870,988",62.7,"195,271",6.4
398,20757,30,Montana,2008,August,"761,268","513,563",67.5,"488,397",64.2,"25,166",4.9
399,20758,31,Nebraska,2008,August,"1,353,373","988,463",73,"955,768",70.6,"32,695",3.3
400,20759,32,Nevada,2008,August,"1,981,608","1,376,217",69.4,"1,277,347",64.5,"98,870",7.2
401,20760,33,New Hampshire,2008,August,"1,052,469","744,390",70.7,"716,147",68,"28,243",3.8
402,20761,34,New Jersey,2008,August,"6,726,036","4,505,811",67,"4,252,819",63.2,"252,992",5.6
403,20762,35,New Mexico,2008,August,"1,501,107","936,491",62.4,"895,498",59.7,"40,993",4.4
404,20763,36,New York,2008,August,"15,280,962","9,668,018",63.3,"9,135,938",59.8,"532,080",5.5
405,20764,51000,New York city,2008,August,"6,576,006","3,960,730",60.2,"3,737,104",56.8,"223,626",5.6
406,20765,37,North Carolina,2008,August,"7,028,454","4,575,725",65.1,"4,302,733",61.2,"272,992",6
407,20766,38,North Dakota,2008,August,"499,374","372,873",74.7,"361,008",72.3,"11,865",3.2
408,20767,39,Ohio,2008,August,"8,933,289","6,011,816",67.3,"5,598,120",62.7,"413,696",6.9
409,20768,40,Oklahoma,2008,August,"2,746,239","1,746,499",63.6,"1,683,945",61.3,"62,554",3.6
410,20769,41,Oregon,2008,August,"2,976,099","1,957,311",65.8,"1,831,635",61.5,"125,676",6.4
411,20770,42,Pennsylvania,2008,August,"9,895,782","6,458,730",65.3,"6,112,327",61.8,"346,403",5.4
412,20771,44,Rhode Island,2008,August,"838,423","568,078",67.8,"522,550",62.3,"45,528",8
413,20772,45,South Carolina,2008,August,"3,448,595","2,167,886",62.9,"2,002,548",58.1,"165,338",7.6
414,20773,46,South Dakota,2008,August,"612,285","439,940",71.9,"425,685",69.5,"14,255",3.2
415,20774,47,Tennessee,2008,August,"4,829,913","3,068,290",63.5,"2,859,187",59.2,"209,103",6.8
416,20775,48,Texas,2008,August,"17,783,166","11,727,305",65.9,"11,139,202",62.6,"588,103",5
417,20776,49,Utah,2008,August,"1,939,685","1,384,255",71.4,"1,338,357",69,"45,898",3.3
418,20777,50,Vermont,2008,August,"505,023","354,246",70.1,"337,699",66.9,"16,547",4.7
419,20778,51,Virginia,2008,August,"5,934,957","4,145,890",69.9,"3,963,418",66.8,"182,472",4.4
420,20779,53,Washington,2008,August,"5,099,238","3,489,319",68.4,"3,299,643",64.7,"189,676",5.4
421,20780,54,West Virginia,2008,August,"1,449,189","805,648",55.6,"769,123",53.1,"36,525",4.5
422,20781,55,Wisconsin,2008,August,"4,392,873","3,099,708",70.6,"2,946,571",67.1,"153,137",4.9
423,20782,56,Wyoming,2008,August,"411,744","297,673",72.3,"288,702",70.1,"8,971",3
424,20783,1,Alabama,2008,September,"3,598,993","2,173,629",60.4,"2,033,141",56.5,"140,488",6.5
425,20784,2,Alaska,2008,September,"503,222","356,278",70.8,"332,909",66.2,"23,369",6.6
426,20785,4,Arizona,2008,September,"4,889,372","3,123,387",63.9,"2,917,994",59.7,"205,393",6.6
427,20786,5,Arkansas,2008,September,"2,190,470","1,361,416",62.2,"1,284,515",58.6,"76,901",5.6
428,20787,6,California,2008,September,"27,679,019","18,257,580",66,"16,805,122",60.7,"1,452,458",8
429,20788,37,Los Angeles County,2008,September,"7,472,581","4,944,453",66.2,"4,532,676",60.7,"411,777",8.3
430,20789,8,Colorado,2008,September,"3,783,064","2,737,389",72.4,"2,595,132",68.6,"142,257",5.2
431,20790,9,Connecticut,2008,September,"2,731,705","1,882,648",68.9,"1,768,820",64.8,"113,828",6
432,20791,10,Delaware,2008,September,"680,178","450,618",66.3,"425,254",62.5,"25,364",5.6
433,20792,11,District of Columbia,2008,September,"478,964","336,743",70.3,"312,433",65.2,"24,310",7.2
434,20793,12,Florida,2008,September,"14,504,739","9,162,508",63.2,"8,574,307",59.1,"588,201",6.4
435,20794,13,Georgia,2008,September,"7,221,664","4,800,201",66.5,"4,442,850",61.5,"357,351",7.4
436,20795,15,Hawaii,2008,September,"976,705","641,210",65.7,"612,280",62.7,"28,930",4.5
437,20796,16,Idaho,2008,September,"1,138,405","764,150",67.1,"718,961",63.2,"45,189",5.9
438,20797,17,Illinois,2008,September,"9,826,546","6,614,614",67.3,"6,158,416",62.7,"456,198",6.9
439,20798,18,Indiana,2008,September,"4,882,575","3,259,403",66.8,"3,050,821",62.5,"208,582",6.4
440,20799,19,Iowa,2008,September,"2,322,671","1,689,996",72.8,"1,616,033",69.6,"73,963",4.4
441,20800,20,Kansas,2008,September,"2,114,526","1,496,707",70.8,"1,424,974",67.4,"71,733",4.8
442,20801,21,Kentucky,2008,September,"3,314,652","2,045,566",61.7,"1,901,351",57.4,"144,215",7.1
443,20802,22,Louisiana,2008,September,"3,363,894","2,078,215",61.8,"1,974,007",58.7,"104,208",5
444,20803,23,Maine,2008,September,"1,063,497","702,387",66,"662,212",62.3,"40,175",5.7
445,20804,24,Maryland,2008,September,"4,364,380","3,037,478",69.6,"2,886,085",66.1,"151,393",5
446,20805,25,Massachusetts,2008,September,"5,195,775","3,481,923",67,"3,284,012",63.2,"197,911",5.7
447,20806,26,Michigan,2008,September,"7,772,172","4,898,438",63,"4,471,729",57.5,"426,709",8.7
448,20807,27,Minnesota,2008,September,"4,058,030","2,926,961",72.1,"2,759,427",68,"167,534",5.7
449,20808,28,Mississippi,2008,September,"2,190,044","1,287,989",58.8,"1,197,500",54.7,"90,489",7
450,20809,29,Missouri,2008,September,"4,584,996","3,066,669",66.9,"2,864,204",62.5,"202,465",6.6
451,20810,30,Montana,2008,September,"761,925","513,902",67.4,"487,527",64,"26,375",5.1
452,20811,31,Nebraska,2008,September,"1,354,435","988,765",73,"955,119",70.5,"33,646",3.4
453,20812,32,Nevada,2008,September,"1,983,560","1,377,125",69.4,"1,272,537",64.2,"104,588",7.6
454,20813,33,New Hampshire,2008,September,"1,053,023","743,962",70.7,"714,905",67.9,"29,057",3.9
455,20814,34,New Jersey,2008,September,"6,730,644","4,511,156",67,"4,246,910",63.1,"264,246",5.9
456,20815,35,New Mexico,2008,September,"1,502,721","937,279",62.4,"894,766",59.5,"42,513",4.5
457,20816,36,New York,2008,September,"15,289,715","9,682,451",63.3,"9,129,223",59.7,"553,228",5.7
458,20817,51000,New York city,2008,September,"6,579,342","3,971,923",60.4,"3,737,886",56.8,"234,037",5.9
459,20818,37,North Carolina,2008,September,"7,037,922","4,578,761",65.1,"4,298,716",61.1,"280,045",6.1
460,20819,38,North Dakota,2008,September,"499,813","372,754",74.6,"360,773",72.2,"11,981",3.2
461,20820,39,Ohio,2008,September,"8,936,246","6,004,979",67.2,"5,579,973",62.4,"425,006",7.1
462,20821,40,Oklahoma,2008,September,"2,749,269","1,749,749",63.6,"1,684,673",61.3,"65,076",3.7
463,20822,41,Oregon,2008,September,"2,979,483","1,962,925",65.9,"1,828,177",61.4,"134,748",6.9
464,20823,42,Pennsylvania,2008,September,"9,901,160","6,465,072",65.3,"6,106,294",61.7,"358,778",5.5
465,20824,44,Rhode Island,2008,September,"838,861","567,986",67.7,"520,521",62.1,"47,465",8.4
466,20825,45,South Carolina,2008,September,"3,453,007","2,171,419",62.9,"1,997,861",57.9,"173,558",8
467,20826,46,South Dakota,2008,September,"612,844","440,469",71.9,"425,601",69.4,"14,868",3.4
468,20827,47,Tennessee,2008,September,"4,834,013","3,070,328",63.5,"2,854,164",59,"216,164",7
469,20828,48,Texas,2008,September,"17,814,485","11,751,993",66,"11,141,801",62.5,"610,192",5.2
470,20829,49,Utah,2008,September,"1,942,966","1,381,301",71.1,"1,334,384",68.7,"46,917",3.4
471,20830,50,Vermont,2008,September,"505,257","354,355",70.1,"337,442",66.8,"16,913",4.8
472,20831,51,Virginia,2008,September,"5,941,756","4,147,911",69.8,"3,959,244",66.6,"188,667",4.5
473,20832,53,Washington,2008,September,"5,106,981","3,490,731",68.4,"3,296,178",64.5,"194,553",5.6
474,20833,54,West Virginia,2008,September,"1,449,753","805,969",55.6,"768,154",53,"37,815",4.7
475,20834,55,Wisconsin,2008,September,"4,395,671","3,103,711",70.6,"2,942,506",66.9,"161,205",5.2
476,20835,56,Wyoming,2008,September,"412,444","298,023",72.3,"288,770",70,"9,253",3.1
477,20836,1,Alabama,2008,October,"3,601,896","2,172,322",60.3,"2,023,364",56.2,"148,958",6.9
478,20837,2,Alaska,2008,October,"504,284","356,381",70.7,"332,820",66,"23,561",6.6
479,20838,4,Arizona,2008,October,"4,896,695","3,129,730",63.9,"2,912,892",59.5,"216,838",6.9
480,20839,5,Arkansas,2008,October,"2,192,094","1,361,363",62.1,"1,280,596",58.4,"80,767",5.9
481,20840,6,California,2008,October,"27,710,666","18,283,764",66,"16,755,408",60.5,"1,528,356",8.4
482,20841,37,Los Angeles County,2008,October,"7,478,480","4,952,014",66.2,"4,518,624",60.4,"433,390",8.8
483,20842,8,Colorado,2008,October,"3,789,510","2,738,037",72.3,"2,589,291",68.3,"148,746",5.4
484,20843,9,Connecticut,2008,October,"2,733,733","1,883,668",68.9,"1,765,753",64.6,"117,915",6.3
485,20844,10,Delaware,2008,October,"680,882","450,134",66.1,"423,297",62.2,"26,837",6
486,20845,11,District of Columbia,2008,October,"479,756","336,687",70.2,"311,389",64.9,"25,298",7.5
487,20846,12,Florida,2008,October,"14,515,421","9,143,874",63,"8,528,323",58.8,"615,551",6.7
