,GDP,Uemployment Rate,death,inIcuCumulative,hospitalizedCumulative,negative,onVentilatorCumulative,positive
0,99.969418201009,3.5,0.0,0.0,0.0,0.0,0.0,1.263157894736842
1,99.9879840445701,3.5,0.4482758620689655,0.0,0.0,0.0,0.0,6.9655172413793105
2,95.201606463078,4.4,668.5806451612904,32.32258064516129,1039.3870967741937,90164.29032258065,0.0,38924.709677419356
3,92.2175779884838,14.8,31368.966666666667,1826.9333333333334,26151.1,1436152.5333333334,159.3,653672.0
4,90.6523830884059,13.3,83483.45161290323,6720.806451612903,82641.03225806452,4236496.70967742,572.7096774193549,1460446.4516129033
5,92.3220661224575,11.1,111896.63333333333,9580.166666666666,134603.16666666666,9331831.233333332,846.6,2152567.9
6,93.9836354976721,10.2,131340.48387096773,12200.838709677419,178575.7741935484,16141250.967741935,1200.3548387096773,3562321.7741935486
7,95.6325066622474,8.4,161685.74193548388,15925.129032258064,249159.12903225806,23691438.06451613,1668.6129032258063,5322680.903225807
8,95.7560894916357,7.8,188271.8,18942.866666666665,293319.06666666665,30408892.833333332,2087.5,6581387.066666666
9,95.8744988961364,6.9,210589.35483870967,22262.032258064515,335938.77419354836,37472942.64516129,2547.6129032258063,8028380.612903226
10,95.9887637643564,6.7,240213.16666666666,27462.966666666667,409452.86666666664,45826098.63333333,3002.866666666667,11231369.733333332
